athlete_external_id,athlete_name,test_date,session_id,pitch_type,pitch_no,velocity_kmh,plate_velocity_kmh,velocity_loss_pct,spin_rpm,true_spin_rpm,spin_efficiency_pct,spin_axis_clock,spin_axis_deg,gyro_degree,ivb_cm,hb_cm,vb_total_cm,release_height_m,release_side_m,release_extension_m,release_angle_deg,vaa_deg,haa_deg,plate_height_cm,plate_side_cm,in_zone,bauer_units,gap_class,gap_to_prev_s
P01,이영하,2026-05-15,SES_20260515_01,FB,26,126.26,117.4,7.0,1864.72,1605.4,86.09,02:30,75.0,30.58,28.2,47.5,-1.8,1.4,0.97,,1.53,,,99.44,-2.82,1,23.8,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,27,127.06,118.2,7.0,2007.7,1555.5,77.48,02:24,72.0,39.22,33.1,34.9,3.1,1.42,1.0,,1.71,,,118.2,-9.9,0,25.4,rapsodo_missing_1,44.0
P01,이영하,2026-05-15,SES_20260515_01,FB,28,134.78,125.3,7.0,2893.17,2831.6,97.87,12:22,11.0,11.84,62.0,47.5,32.0,1.45,1.02,,1.8,,,149.37,47.89,0,34.5,normal,14.0
P01,이영하,2026-05-15,SES_20260515_01,FB,29,128.67,119.7,7.0,2017.73,1716.9,85.09,02:32,76.0,31.69,55.8,40.2,25.8,1.45,0.95,,0.14,,,90.56,-75.75,0,25.2,manual_review,60.0
P01,이영하,2026-05-15,SES_20260515_01,FB,30,112.64,104.8,7.0,1805.1,1572.1,87.09,11:04,332.0,-29.44,45.6,-5.0,15.6,1.67,-0.38,,1.74,,,132.32,31.75,0,25.8,player_boundary,472.0
P01,이영하,2026-05-15,SES_20260515_01,FB,31,118.27,110.0,7.0,0,,,-,,,,-7.9,-30,2.1,-0.13,,4.41,,,145.73,24.21,0,,normal,13.0
P01,이영하,2026-05-15,SES_20260515_01,FB,32,109.5,101.8,7.0,1921.55,1498.1,77.96,11:48,354.0,-38.77,-10.3,0.9,-40.3,1.76,-0.34,,-1.74,,,77.4,0.53,1,28.2,normal,25.0
P01,이영하,2026-05-15,SES_20260515_01,FB,33,112.24,104.4,7.0,1894.28,1468.1,77.5,11:48,354.0,-39.2,,,-30,,,,,,,,,0,27.2,normal,17.0
P01,이영하,2026-05-15,SES_20260515_01,FB,34,108.23,100.7,7.0,1887.34,1488.1,78.85,11:46,353.0,-37.96,47.5,6.6,17.5,1.73,-0.37,,1.47,,,133.46,-54.24,0,28.1,normal,16.0
P01,이영하,2026-05-15,SES_20260515_01,FB,35,108.42,100.8,7.0,1855.24,1351.5,72.85,11:46,353.0,-43.24,-0.6,-3.9,-30.6,1.82,-0.24,,-2.05,,,84.1,109.02,0,27.5,normal,14.0
P01,이영하,2026-05-15,SES_20260515_01,FB,36,114.02,106.0,7.0,1791.5,1408.2,78.6,12:14,7.0,-38.18,15.8,29.8,-14.2,1.67,-0.34,,0.21,,,115.35,38.17,0,25.3,normal,18.0
P01,이영하,2026-05-15,SES_20260515_01,FB,37,118.3,110.0,7.0,1816.44,1521.6,83.77,12:14,7.0,-33.1,61.5,58.1,31.5,1.72,-0.33,,1.99,,,153.48,-18.63,0,24.7,normal,14.0
